customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
8855-['K' 'M' 'A' 'D' 'L'];Male;1;No;Yes;37;Yes;No;Fiber optic;No;No;No;No;No;No;One year;Yes;Credit card (automatic);114,56;4228,01;No
9302-['S' 'D' 'Q' 'B' 'I'];Male;0;No;No;8;Yes;Yes;DSL;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Mailed check;119,81;959,07;No
8632-['D' 'P' 'K' 'B' 'L'];Female;0;No;No;65;Yes;Yes;Fiber optic;No;No internet service;No;No;No internet service;No internet service;Month-to-month;Yes;Mailed check;32,27;2108,18;Yes
3757-['J' 'E' 'Y' 'I' 'R'];Female;1;No;No;36;Yes;No;DSL;No;Yes;Yes;No internet service;No;No;One year;No;Electronic check;67,61;2425,09;Yes
8156-['O' 'I' 'R' 'O' 'R'];Male;0;Yes;No;44;Yes;Yes;Fiber optic;No;No;No;No internet service;No;No;Two year;Yes;Electronic check;23,15;1029,96;No
5378-['F' 'Y' 'H' 'C' 'C'];Female;0;Yes;No;23;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;49,02;1122,89;No
6597-['K' 'L' 'K' 'B' 'N'];Female;0;Yes;No;6;No;No phone service;Fiber optic;Yes;No;No;No internet service;No;Yes;Month-to-month;Yes;Mailed check;47,71;281,84;No
6105-['T' 'Z' 'I' 'O' 'D'];Male;0;No;No;23;Yes;No;Fiber optic;No;No internet service;Yes;No;Yes;Yes;One year;No;Mailed check;66,63;1534,59;No
7076-['S' 'C' 'V' 'O' 'L'];Female;0;No;No;42;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);73,19;3066,33;Yes
4638-['A' 'Q' 'E' 'O' 'V'];Male;0;Yes;No;4;Yes;No phone service;DSL;No;Yes;Yes;Yes;No;No;Month-to-month;No;Electronic check;53,84;218,33;No
8099-['L' 'P' 'D' 'H' 'D'];Female;0;Yes;No;63;Yes;Yes;DSL;No;Yes;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);20,13;1256,32;Yes
3810-['X' 'I' 'U' 'V' 'S'];Female;0;No;Yes;55;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;One year;No;Credit card (automatic);116,36;6379,85;Yes
2334-['I' 'M' 'W' 'P' 'N'];Female;0;No;Yes;14;No;No phone service;DSL;Yes;No internet service;No;No;No;Yes;One year;Yes;Credit card (automatic);112,78;1585,48;No
4335-['B' 'G' 'G' 'E' 'W'];Female;0;Yes;No;28;No;No phone service;DSL;No;No internet service;No;Yes;Yes;No;Month-to-month;Yes;Mailed check;72,4;2022,75;Yes
2421-['G' 'V' 'R' 'H' 'D'];Female;0;Yes;No;50;No;No phone service;Fiber optic;No;No;No;No;No internet service;No internet service;One year;No;Credit card (automatic);67,1;3341,1;No
8383-['G' 'Z' 'Y' 'V' 'D'];Female;0;No;No;7;Yes;No;DSL;No;No;No internet service;Yes;No;No;Month-to-month;Yes;Credit card (automatic);116,78;817,21;Yes
9793-['K' 'F' 'B' 'P' 'S'];Female;0;No;No;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;81,35;5864,3;No
6962-['G' 'B' 'V' 'J' 'Q'];Female;0;Yes;No;37;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;118,43;4379;Yes
5614-['I' 'L' 'H' 'K' 'M'];Male;1;Yes;No;39;Yes;No;Fiber optic;No;No;No;No;No;No;One year;Yes;Electronic check;27,02;1059,35;No
1658-['S' 'X' 'B' 'V' 'O'];Male;1;No;No;63;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);67,73;4273,13;No
2712-['Y' 'J' 'U' 'S' 'J'];Female;0;Yes;No;23;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;Yes;Electronic check;42,52;984,85;Yes
8379-['N' 'U' 'O' 'O' 'M'];Male;0;No;No;63;Yes;No;DSL;No internet service;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);49,94;3142,3;No
1418-['Z' 'P' 'J' 'P' 'T'];Male;1;No;No;24;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Electronic check;94,24;2260,77;No
2980-['Q' 'V' 'X' 'T' 'J'];Male;1;Yes;No;72;Yes;No;DSL;Yes;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);111,07;8002,77;Yes
5027-['Q' 'R' 'G' 'H' 'O'];Male;1;No;No;72;Yes;No;Fiber optic;No;No;Yes;No;No internet service;Yes;Month-to-month;No;Bank transfer (automatic);69,57;5011,13;Yes
5684-['Z' 'J' 'S' 'I' 'Y'];Female;0;No;Yes;59;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Electronic check;116,12;6858,92;Yes
6194-['U' 'E' 'E' 'P' 'F'];Male;0;Yes;Yes;16;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);57,62;890,5;No
5633-['Q' 'M' 'O' 'U' 'J'];Male;0;Yes;Yes;54;Yes;No;DSL;No;Yes;No internet service;Yes;No;No internet service;Month-to-month;Yes;Bank transfer (automatic);77,33;4162,41;Yes
8702-['K' 'T' 'X' 'L' 'Z'];Male;0;Yes;Yes;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;54,81;592,29;Yes
8564-['J' 'S' 'O' 'H' 'S'];Male;0;No;Yes;31;Yes;No;Fiber optic;No;No internet service;No;No internet service;No internet service;Yes;Month-to-month;Yes;Mailed check;103,5;3197,52;Yes
6053-['R' 'O' 'U' 'P' 'D'];Male;1;No;No;39;Yes;No;Fiber optic;Yes;Yes;No internet service;No;No internet service;No;Month-to-month;No;Mailed check;90,64;3532,5;No
9260-['E' 'M' 'L' 'A' 'E'];Female;0;No;No;55;Yes;No;DSL;No internet service;No;No;No internet service;No internet service;No;One year;Yes;Mailed check;58,53;3218,59;No
8363-['X' 'F' 'R' 'A' 'K'];Female;1;Yes;No;0;No;No phone service;DSL;Yes;No internet service;Yes;No;No;No;Month-to-month;Yes;Electronic check;98,76;0;No
9778-['H' 'Y' 'T' 'Z' 'C'];Female;0;Yes;No;57;Yes;Yes;DSL;Yes;No;No;Yes;No;No internet service;One year;Yes;Electronic check;94,64;5408,19;No
5246-['E' 'R' 'K' 'O' 'U'];Female;0;Yes;No;8;Yes;No phone service;DSL;No internet service;No;No;No;Yes;No;One year;No;Credit card (automatic);30,42;233,84;Yes
5125-['R' 'E' 'B' 'M' 'R'];Male;0;No;No;62;Yes;No;Fiber optic;Yes;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;23,82;1478,29;No
1097-['C' 'K' 'V' 'T' 'L'];Female;0;Yes;Yes;27;Yes;Yes;DSL;No;Yes;Yes;Yes;No;No;Two year;No;Mailed check;110,77;2985,94;No
4621-['S' 'J' 'Y' 'N' 'S'];Male;0;No;No;72;Yes;Yes;DSL;Yes;No;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);47,96;3454,71;Yes
7874-['R' 'K' 'F' 'I' 'F'];Female;0;No;No;65;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);85,51;5548,05;No
5074-['X' 'D' 'U' 'E' 'T'];Female;0;Yes;No;21;Yes;No;Fiber optic;No internet service;No;Yes;No;No internet service;Yes;Two year;Yes;Credit card (automatic);51,74;1082,79;No
3570-['A' 'P' 'H' 'Q' 'T'];Male;0;Yes;Yes;39;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;87,93;3419,34;Yes
9728-['T' 'X' 'T' 'O' 'P'];Female;0;No;No;8;Yes;No;Fiber optic;No;No;No internet service;No;Yes;No;Month-to-month;Yes;Mailed check;47,05;378,56;No
5227-['B' 'F' 'U' 'F' 'V'];Female;0;No;Yes;45;Yes;No phone service;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;No;Electronic check;104,32;4695,18;Yes
2639-['E' 'U' 'R' 'U' 'L'];Male;0;No;Yes;31;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Credit card (automatic);116,69;3632,87;No
6714-['C' 'I' 'B' 'R' 'P'];Male;0;Yes;No;38;Yes;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Mailed check;64,14;2445,28;No
2862-['G' 'G' 'I' 'Y' 'U'];Male;0;No;No;4;Yes;No phone service;Fiber optic;Yes;Yes;No;No;No;No;One year;No;Mailed check;67,58;258,23;No
6316-['M' 'S' 'Z' 'L' 'K'];Male;0;Yes;Yes;49;Yes;No;DSL;Yes;Yes;No;No;No;No;Two year;Yes;Electronic check;89,61;4388,46;No
8098-['B' 'E' 'H' 'J' 'Z'];Male;1;No;Yes;54;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;69,86;3786,95;Yes
9984-['A' 'L' 'E' 'O' 'F'];Female;1;No;No;20;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;41,61;825,4;Yes
4500-['T' 'O' 'P' 'N' 'E'];Male;1;Yes;No;58;Yes;No;DSL;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);96,56;5607,8;No
9444-['Q' 'S' 'C' 'S' 'E'];Male;0;No;No;53;Yes;Yes;Fiber optic;Yes;Yes;Yes;No internet service;No;No;Two year;No;Bank transfer (automatic);63,01;3341,38;No
1744-['W' 'S' 'U' 'K' 'N'];Female;1;Yes;No;30;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;92,37;2783,05;Yes
6854-['P' 'B' 'N' 'T' 'Y'];Male;0;No;Yes;14;Yes;Yes;DSL;No;Yes;No;No;No;No;Two year;No;Electronic check;104,27;1448,96;Yes
5551-['M' 'P' 'P' 'M' 'G'];Male;0;No;No;28;Yes;No phone service;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;62,81;1749,48;No
7620-['X' 'O' 'L' 'T' 'O'];Female;0;Yes;No;58;Yes;No;DSL;No;No internet service;No;Yes;No;No;One year;Yes;Credit card (automatic);23,27;1342,75;Yes
4050-['Q' 'V' 'Y' 'E' 'T'];Female;0;Yes;No;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;25,9;278,24;No
6113-['L' 'U' 'L' 'M' 'L'];Male;0;No;No;7;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Bank transfer (automatic);60,01;417,08;Yes
